file,avg_accuracy,avg_cer,avg_wer,total_lines,matched_lines
1_1.png,0.6392003515037742,0.4301736910432563,1.6666666666666667,21,21
1_2.png,0.648866604337729,0.4182348879553849,1.5932539682539684,21,21
1_3.png,0.5776426644439068,0.4483979615967194,1.1964285714285714,21,21
1_4.png,0.6772301000383075,0.3575709142479329,1.4345238095238095,21,21
1_5.png,0.6793414964513711,0.3695097173358044,1.5873015873015874,21,21
1_6.png,0.6147563249783418,0.4364476103606538,1.587301587301587,21,21
1_7.png,0.6657567642007146,0.3646836255531908,1.4285714285714286,21,21
1_8.png,0.6628593587549718,0.38717898733426687,1.8313492063492065,21,21
1_9.png,0.6948367099254467,0.34483003194183315,1.8313492063492065,21,21
1_10.png,0.6330956681161518,0.46829981612590316,2.3809523809523805,21,21
2_1.png,0.7012133626931976,0.331938592808158,1.4285714285714286,21,21
2_2.png,0.6233535071157076,0.4180418442840803,1.9107142857142858,21,21
2_3.png,0.4883743891739628,0.5565506784450883,1.6726190476190477,21,21
2_4.png,0.46454440786833956,0.5687307861220904,1.1904761904761905,21,16
2_5.png,0.5741691107193239,0.521054773383966,2.386904761904762,21,21
2_6.png,0.6146535521354304,0.42998064737195163,1.7460317460317458,21,21
2_7.png,0.7251142019265687,0.3511039512592307,1.9107142857142854,21,21
2_8.png,0.5055826678497487,0.5209582515483137,1.1964285714285714,21,16
2_9.png,0.6678054272873882,0.36145591813293665,1.5138888888888888,21,21
2_10.png,0.047619047619047616,0.9523809523809523,0.9523809523809523,21,1
3_1.png,0.44566603123612064,0.5959557178501277,1.6726190476190477,21,21
4_1.png,0.19329394329394328,0.8282113848884035,0.9583333333333334,21,11
4_2.png,0.4939843777796869,0.571771223945137,1.4285714285714286,21,21
4_3.png,0.5633688257911859,0.5298566168131386,1.587301587301587,21,21
4_4.png,0.5077600970458113,0.532854567792456,1.1964285714285714,21,21
4_5.png,0.6491310108331384,0.40295453338931597,1.984126984126984,21,21
4_6.png,0.40418608034659026,0.6357227141388633,1.6726190476190477,21,21
4_7.png,0.4670601228798976,0.5655030787018364,1.751984126984127,21,16
4_8.png,0.6900775512713094,0.3655339656892452,1.9107142857142854,21,21
4_9.png,0.6455051120186257,0.4419309986080172,1.990079365079365,21,21
4_10.png,0.6661849280775112,0.3533905707818751,1.5873015873015874,21,21
5_1.png,0.485738847440975,0.5461446765794592,1.2698412698412698,21,16
5_2.png,0.047619047619047616,0.9523809523809523,0.9523809523809523,21,1
5_3.png,0.6871923237380059,0.35025361112317627,1.6666666666666667,21,21
5_4.png,0.6728172994429726,0.3623970060305463,1.4345238095238095,21,21
5_5.png,0.46512746512746517,0.6444762966502096,1.1904761904761905,21,21
5_6.png,0.45061557827515264,0.5966497270845097,1.507936507936508,21,16
5_7.png,0.5380980108423716,0.5447026231187723,1.4345238095238095,21,21
5_8.png,0.6467986849714007,0.41565292885168664,1.6726190476190477,21,21
5_9.png,0.501686551210019,0.5967037620764328,1.593253968253968,21,21
5_10.png,0.3925067053949041,0.6494046843425724,1.4345238095238095,21,21
6_1.png,0.497815154770042,0.5519176303337794,1.1964285714285714,21,21
6_2.png,0.3532209219135152,0.7239048908303568,1.367063492063492,21,16
6_3.png,0.6506638265052486,0.38220811279817485,1.5138888888888888,21,21
