file,avg_accuracy,avg_cer,avg_wer,total_lines,matched_lines
1_1.png,0.4357248352818362,0.7526168418112151,1.7720588235294117,17,8
1_2.png,0.6437134112092303,0.41765480895915674,1.5087719298245612,19,13
1_3.png,0.09150545297484956,1.301917788330832,2.111111111111111,18,0
1_4.png,0.5380127153023476,0.7248340427688255,1.75,16,10
1_5.png,0.6773162497092986,0.39948152533964887,1.736842105263158,19,15
1_6.png,0.6196811826397283,0.46962495932747644,1.6666666666666665,19,13
1_7.png,0.6142265286211296,0.4679607196769668,1.7894736842105263,19,11
1_8.png,0.6343649759381503,0.4376843598811563,1.5964912280701753,19,12
1_9.png,0.7162619158125887,0.34161405516904236,1.4313725490196079,17,14
1_10.png,0.5910354793503771,0.5533596837944664,1.6666666666666665,11,5
2_1.png,0.69612867347468,0.36563131757639766,1.543859649122807,19,15
2_2.png,0.2374866984695847,1.1505878179791222,2.6166666666666667,20,3
2_3.png,0.6617882494122053,0.4142206953991851,1.7258771929824563,19,13
2_4.png,0.4701670276114823,1.0541155069187105,2.5679824561403506,19,4
2_5.png,0.6415289402872218,0.473934913294181,2.1403508771929824,19,10
2_6.png,0.6377191900503649,0.47826086956521735,1.7777777777777777,9,5
2_7.png,0.5542975349835013,0.5310258010486844,1.5438596491228072,19,11
2_8.png,0.10338470005503578,0.9648680124223602,1.5833333333333333,4,0
2_9.png,0.7579844979377534,0.2898337360579923,1.3333333333333333,19,17
2_10.png,1.0,0.0,0.0,1,1
3_1.png,0.4841983068500493,0.94439940092114,1.740740740740741,18,7
4_1.png,0.7302497687326548,0.29565217391304344,1.8666666666666665,5,5
4_2.png,0.090923537621353,1.2178056318681318,2.083333333333333,16,0
4_3.png,0.6965942028985508,0.3478260869565218,1.2083333333333333,8,7
4_4.png,0.7154606297999021,0.351048951048951,1.5999999999999999,15,13
4_5.png,0.4525070231872227,0.9257964257964257,2.0370370370370368,18,8
4_6.png,0.469143495356823,0.5772456709956709,2.1215277777777777,12,5
4_7.png,0.5053100073824149,0.8133677916286612,2.395833333333333,16,4
4_8.png,0.6815265801202942,0.39505955524262165,1.736842105263158,19,14
4_9.png,0.44752235736597373,0.6595567197573887,2.4615384615384612,13,5
4_10.png,0.37419117303834043,0.8933988716597412,1.9259259259259258,18,5
5_1.png,0.49297324073025556,0.8916483973692211,2.1052631578947367,19,9
5_2.png,0.6626466528640441,0.38276397515527955,0.7083333333333334,3,2
5_3.png,0.708038597734745,0.34555375974140273,1.4561403508771928,19,17
5_4.png,0.32166527068368805,1.0844622366361496,2.3333333333333335,18,3
5_5.png,0.5024111179575083,0.9360547918900322,1.8421052631578947,19,10
5_6.png,0.41921588315334857,0.9188637449507014,2.2380952380952377,21,7
5_7.png,0.2266320127619314,1.1561201479679741,2.7083333333333335,16,3
5_8.png,0.48721729219135795,0.5990507077463598,2.0925925925925926,18,9
5_9.png,0.6614629171205635,0.40217391304347827,1.375,8,5
5_10.png,0.6313507098431622,0.4838505975629721,2.1025641025641026,13,9
6_1.png,0.35766679641640725,0.829715212323908,2.4666666666666663,20,5
6_2.png,0.11467030236445017,1.065217391304348,1.9,10,0
6_3.png,0.609711958603869,0.4563629305477132,1.565972222222222,12,7
